Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_1.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:49:49
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2415

Время [с]	Перемещение [мм]	Усилие [Н]
0.00	0.000	1.4900E+0
0.10	0.002	1.4900E+0
0.20	0.005	1.5000E+0
0.30	0.008	1.4900E+0
0.40	0.011	1.4900E+0
0.50	0.015	1.4800E+0
0.60	0.018	1.4900E+0
0.70	0.021	1.5000E+0
0.80	0.025	1.4900E+0
0.90	0.028	1.5000E+0
1.00	0.031	1.4900E+0
1.10	0.035	1.4900E+0
1.20	0.038	1.4900E+0
1.30	0.042	1.4800E+0
1.40	0.045	1.4900E+0
1.50	0.048	1.4900E+0
1.60	0.052	1.4900E+0
1.70	0.055	1.4900E+0
1.80	0.058	1.4900E+0
1.90	0.062	1.4900E+0
2.00	0.065	1.4700E+0
2.10	0.068	1.4900E+0
2.20	0.071	1.4900E+0
2.30	0.075	1.4900E+0
2.40	0.078	1.4900E+0
2.50	0.082	1.4900E+0
2.60	0.085	1.4900E+0
2.70	0.088	1.4900E+0
2.80	0.092	1.4900E+0
2.90	0.095	1.5000E+0
3.00	0.099	1.4900E+0
3.10	0.105	1.4900E+0
3.20	0.109	1.5000E+0
3.30	0.112	1.4900E+0
3.40	0.115	1.4900E+0
3.50	0.119	1.4900E+0
3.60	0.122	1.4900E+0
3.70	0.126	1.4800E+0
3.80	0.129	1.4900E+0
3.90	0.132	1.4900E+0
4.00	0.136	1.4800E+0
4.10	0.139	1.4900E+0
4.20	0.142	1.4900E+0
4.30	0.146	1.4900E+0
4.40	0.149	1.4800E+0
4.50	0.152	1.4900E+0
4.60	0.156	1.4900E+0
4.70	0.159	1.4900E+0
4.80	0.162	1.5000E+0
4.90	0.166	1.5000E+0
5.00	0.169	1.4900E+0
5.10	0.172	1.4900E+0
5.20	0.176	1.4900E+0
5.30	0.179	1.4800E+0
5.40	0.182	1.4700E+0
5.50	0.185	1.4900E+0
5.60	0.188	1.4900E+0
5.70	0.192	1.4800E+0
5.80	0.195	1.4800E+0
5.90	0.198	1.5000E+0
6.00	0.202	1.5000E+0
6.10	0.205	1.4900E+0
6.20	0.208	1.4800E+0
6.30	0.211	1.4800E+0
6.40	0.215	1.4900E+0
6.50	0.218	1.4800E+0
6.60	0.221	1.4900E+0
6.70	0.224	1.4900E+0
6.80	0.228	1.4800E+0
6.90	0.231	1.4900E+0
7.00	0.235	1.4900E+0
7.10	0.238	1.4900E+0
7.20	0.241	1.4900E+0
7.30	0.244	1.4800E+0
7.40	0.248	1.4900E+0
7.50	0.251	1.4900E+0
7.60	0.254	1.4900E+0
7.70	0.257	1.4900E+0
7.80	0.264	1.4900E+0
7.90	0.267	1.4700E+0
8.00	0.271	1.4800E+0
8.10	0.274	1.4900E+0
8.20	0.277	1.4900E+0
8.30	0.280	1.5000E+0
8.40	0.284	1.4900E+0
8.50	0.287	1.5000E+0
8.60	0.290	1.4900E+0
8.70	0.293	1.4900E+0
8.80	0.297	1.5000E+0
8.90	0.300	1.4900E+0
9.00	0.303	1.4900E+0
9.10	0.307	1.4800E+0
9.20	0.310	1.4900E+0
9.30	0.313	1.4800E+0
9.40	0.316	1.4900E+0
9.50	0.320	1.4800E+0
